<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;D;250502;000000;149.7;149.7;138.15;138.89;105678940
GAZP;D;250503;000000;138.98;141.18;137.81;139.58;22125740
GAZP;D;250504;000000;139.8;141.85;139.55;141.1;18460450
GAZP;D;250505;000000;140.47;141.57;131.53;135.09;180630770
GAZP;D;250506;000000;134.98;139.5;132.33;137.71;204769830
GAZP;D;250507;000000;137.77;140.38;136.76;139.9;112850340
GAZP;D;250508;000000;140.06;144.77;140.03;142.9;145734030
GAZP;D;250510;000000;144.05;145.07;143.1;143.87;23189660
GAZP;D;250511;000000;147.27;147.27;145.06;145.88;37314220
GAZP;D;250512;000000;147.1;149.39;144.71;146.73;149329510
GAZP;D;250513;000000;146.98;147.5;144.83;145.64;80118830
GAZP;D;250514;000000;145.93;146.8;141.59;141.74;101406970
GAZP;D;250515;000000;141.65;143.18;137.86;139.44;154554490
GAZP;D;250516;000000;139.82;140.82;133.5;139.1;186003800
GAZP;D;250517;000000;139.4;142.45;139.23;141.83;25225550
GAZP;D;250518;000000;143;143.26;142;143.26;23483340
GAZP;D;250519;000000;143.47;143.64;138.88;139.72;142281090
GAZP;D;250520;000000;140.04;140.5;134.99;137.1;95672150
GAZP;D;250521;000000;137.08;141.99;135.25;136.5;136122450
GAZP;D;250522;000000;136.25;136.84;130.07;130.87;188958130
GAZP;D;250523;000000;131;131.5;128.81;131.13;76822640
GAZP;D;250526;000000;130.66;130.98;124.18;125.52;118985340
GAZP;D;250527;000000;125.38;127.82;122.57;127.41;106294450
GAZP;D;250528;000000;127.41;132.4;127.05;131.95;98395470
GAZP;D;250529;000000;132.3;132.4;129.21;129.42;66280980
GAZP;D;250530;000000;129.34;133.05;128.33;132.26;84512750
GAZP;D;250531;000000;132.37;132.95;132;132.15;6867220
GAZP;D;250601;000000;131.72;131.76;128.16;128.16;31889750
GAZP;D;250602;000000;127.4;131.68;126.8;129.87;113576590
GAZP;D;250603;000000;130.05;131.18;128.64;130.56;56471210
GAZP;D;250604;000000;130.62;132.43;128.72;129.58;76500470
GAZP;D;250605;000000;129.89;130.46;128.91;129.48;39107440
GAZP;D;250606;000000;129.4;132.4;125.51;125.56;112762130
GAZP;D;250607;000000;125.67;126.5;125.67;126.17;4185540
GAZP;D;250608;000000;126.18;126.27;124.81;125.4;5538230
GAZP;D;250609;000000;125.59;126.1;122.67;123.5;58350570
GAZP;D;250610;000000;123.86;124.27;121.85;122.8;47770910
GAZP;D;250611;000000;123.06;123.59;122.22;122.84;29934000
GAZP;D;250613;000000;124.11;124.49;123.06;123.39;20093730
GAZP;D;250614;000000;123.85;125.52;123.57;125.5;9766920
GAZP;D;250615;000000;126.26;126.75;123.59;125.15;14726220
GAZP;D;250616;000000;125.65;125.85;122.66;123.05;36695650
GAZP;D;250617;000000;123.18;128;122.68;127.17;70972110
GAZP;D;250618;000000;127.44;127.87;125.51;126.67;51348180
GAZP;D;250619;000000;126.8;127.35;125;125.92;47823140
GAZP;D;250620;000000;125.92;126.66;123.4;124.27;46438920
GAZP;D;250623;000000;124.87;125.82;123.51;125.19;34983200
