<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
ROSN;D;250502;000000;455.05;455.9;435.35;435.7;2499519
ROSN;D;250503;000000;438.05;439.7;435;438.15;337227
ROSN;D;250504;000000;438.15;443.5;437.7;439.7;415443
ROSN;D;250505;000000;435.7;438.95;420.05;426.7;6639187
ROSN;D;250506;000000;427.5;436;422.6;430.25;4734934
ROSN;D;250507;000000;430;440.85;428.05;438;2999617
ROSN;D;250508;000000;438.1;449;438;443.9;2742565
ROSN;D;250510;000000;446;447.65;443.9;445.2;241139
ROSN;D;250511;000000;452;452.3;446.45;448.6;721342
ROSN;D;250512;000000;451.7;463;451.65;456.4;4895281
ROSN;D;250513;000000;458.1;458.6;450.35;455.85;2187587
ROSN;D;250514;000000;455.85;456.6;438.35;438.8;5035348
ROSN;D;250515;000000;438.55;446.45;435.05;442.15;4252138
ROSN;D;250516;000000;443.95;445.5;431.25;439.85;3832676
ROSN;D;250517;000000;439.85;446;439.65;445.5;418802
ROSN;D;250518;000000;447;448.25;446.2;447.45;342743
ROSN;D;250519;000000;447.45;447.75;436.9;439;3327824
ROSN;D;250520;000000;440;440.9;429.8;432.3;2633344
ROSN;D;250521;000000;432.8;433.8;427.55;429.35;2310206
ROSN;D;250522;000000;429.45;430.15;422.15;423.85;4667235
ROSN;D;250523;000000;423.95;427.45;418.45;420.7;3497459
ROSN;D;250526;000000;420.7;421.45;410.6;413.9;4328472
ROSN;D;250527;000000;413.5;418.8;408.35;413.65;5412536
ROSN;D;250528;000000;413.65;429;413.4;428.15;5097147
ROSN;D;250529;000000;429.05;437.45;424.6;424.95;6173778
ROSN;D;250530;000000;424.8;432.9;420.4;427.15;4525966
ROSN;D;250531;000000;427.35;430.45;427.35;428.35;238766
ROSN;D;250601;000000;428.4;428.5;416.4;418.65;1070864
ROSN;D;250602;000000;419.05;439.5;418.6;438.7;6412701
ROSN;D;250603;000000;438.95;444.95;435.85;444.15;3369945
ROSN;D;250604;000000;444.4;450;432.45;435.45;6133266
ROSN;D;250605;000000;435.4;443;434.35;437.9;3340079
ROSN;D;250606;000000;438.05;447.4;429;429.2;8200599
ROSN;D;250607;000000;430.65;433.85;429.45;430.15;211233
ROSN;D;250608;000000;430;430.85;428.3;429.85;216711
ROSN;D;250609;000000;430.15;432;422.65;425.75;2589512
ROSN;D;250610;000000;426.65;429.45;406.6;411.15;9584325
ROSN;D;250611;000000;411.7;417.35;408.1;415.4;3562047
ROSN;D;250613;000000;428.65;444.4;424;444.4;17141273
ROSN;D;250614;000000;446.8;457.6;446.8;457.6;6163961
ROSN;D;250615;000000;457.6;457.6;439;450.3;14453840
ROSN;D;250616;000000;448.75;449.25;433.15;436.15;17464998
ROSN;D;250617;000000;437.5;457.8;436.5;456.95;14780242
ROSN;D;250618;000000;458;459;448.2;454.85;13320837
ROSN;D;250619;000000;454.85;459.65;452.15;455.6;10164101
ROSN;D;250620;000000;453.4;456.35;445.55;448.75;5837206
ROSN;D;250623;000000;458.05;459.35;452.15;456.05;9104845
