<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SBER;D;250502;000000;307.73;307.73;299.7;299.96;19718480
SBER;D;250503;000000;299.9;302.24;299.52;300.7;2942530
SBER;D;250504;000000;300.7;302.78;300.02;301.8;2867700
SBER;D;250505;000000;301.82;302.59;291.66;294.64;45487870
SBER;D;250506;000000;294.65;304.75;292.05;302.02;49317710
SBER;D;250507;000000;302.51;304.24;300.56;302.79;29655240
SBER;D;250508;000000;302.99;306;300.61;302.15;20809880
SBER;D;250510;000000;303.53;304;301.7;302.38;2084470
SBER;D;250511;000000;305.85;307.64;304.55;305.48;8172680
SBER;D;250512;000000;307.55;311.49;307.26;310.81;34653810
SBER;D;250513;000000;310.8;312.5;309.61;311.24;24729810
SBER;D;250514;000000;311.5;313.71;304.04;304.21;27149310
SBER;D;250515;000000;304.21;307.77;300.49;304.72;47415670
SBER;D;250516;000000;304.71;308.88;296.56;306.34;63950560
SBER;D;250517;000000;306.34;309.48;306.01;308.89;4795590
SBER;D;250518;000000;309.67;311.86;309.3;311.15;5402510
SBER;D;250519;000000;311.48;313;306.34;308.33;44482040
SBER;D;250520;000000;308.88;309.55;304.7;306.16;19804720
SBER;D;250521;000000;306.18;307.56;302.89;303.98;20454350
SBER;D;250522;000000;304.03;305.6;299.17;302.66;35011620
SBER;D;250523;000000;302.8;305;301.33;302.22;17168890
SBER;D;250526;000000;302.23;302.49;295.5;297.77;34610630
SBER;D;250527;000000;297.68;299.9;293.08;298.7;25752260
SBER;D;250528;000000;299.06;308.82;299;308.47;47995510
SBER;D;250529;000000;308.65;309.95;305.66;306.65;24021920
SBER;D;250530;000000;306.5;310.29;305.01;309.3;21903940
SBER;D;250531;000000;309.31;309.84;308.31;308.74;1459500
SBER;D;250601;000000;308.69;308.69;300.51;303.14;11904960
SBER;D;250602;000000;302.6;311.99;302;309.63;41186650
SBER;D;250603;000000;309.7;314.88;309.39;313.55;34901410
SBER;D;250604;000000;314.04;318.29;311.17;313.23;53773500
SBER;D;250605;000000;313.78;318.59;313.53;317.96;28353280
SBER;D;250606;000000;318.35;325.43;312.52;313.13;102005180
SBER;D;250607;000000;314;314.95;313.72;314.65;2022260
SBER;D;250608;000000;314.66;314.88;313.61;314.35;1618500
SBER;D;250609;000000;314.7;315.51;310;311.17;30107660
SBER;D;250610;000000;311.22;313.3;307.55;308.68;27810150
SBER;D;250611;000000;309.45;313.6;308.03;312;26270980
SBER;D;250613;000000;313.29;313.39;309.53;310.2;13401660
SBER;D;250614;000000;310.21;311.17;309.55;310.29;1445960
SBER;D;250615;000000;310.97;311.4;309.74;310.09;1949530
SBER;D;250616;000000;310.2;314.37;309.81;311.5;21320550
SBER;D;250617;000000;311.62;314.93;310.5;313.56;23299910
SBER;D;250618;000000;313.6;314.82;311.63;313.38;17594740
SBER;D;250619;000000;313.5;316.45;312.14;312.46;30296920
SBER;D;250620;000000;312.46;313.59;309.3;309.7;22034460
SBER;D;250623;000000;310.71;311.44;308.04;311.09;14202460
